Position,Const,Created,Modified,studio,budget,opening_weekend,domestic,international,worldwide,status,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,
6,tt12121582,2022-12-01,2023-01-31,"A24",,140969,196920,,196920,Unknown,When You Finish Saving the World,https://www.imdb.com/title/tt12121582/,movie,5.6,88,2022,"Comedy, Drama",3739,2022-01-20,"Jesse Eisenberg",
27,tt11698800,2023-09-06,2023-09-06,"Neon",,74781,189579,360204,549783,Unknown,Enys Men,https://www.imdb.com/title/tt11698800/,movie,5.7,96,2022,"Fantasy, Horror, Mystery",2943,2022-05-20,"Mark Jenkin",
5,tt14458442,2022-11-17,2023-11-28,"Sony",,213287,449650,3168031,3617681,Unknown,The Son,https://www.imdb.com/title/tt14458442/,movie,6.4,123,2022,Drama,14281,2022-09-07,"Florian Zeller",
41,tt14846026,2023-03-24,2023-11-28,"Lionsgate",,3330891,7265622,7015577,14281199,Unknown,Sisu,https://www.imdb.com/title/tt14846026/,movie,6.9,91,2022,"Action, War",65715,2022-09-09,"Jalmari Helander",
30,tt21440780,2023-09-06,2023-11-28,"Neon",,115453,750010,296801,1046811,Unknown,How to Blow Up a Pipeline,https://www.imdb.com/title/tt21440780/,movie,7,104,2022,"Action, Crime, Drama, Thriller",8214,2022-09-10,"Daniel Goldhaber",
37,tt12758486,2023-02-22,2023-12-27,"Disney/Searchlight Pictures",,1521288,3541159,615645,4156804,Unknown,Chevalier,https://www.imdb.com/title/tt12758486/,movie,6.5,108,2022,"Biography, Drama, History, Music",6330,2022-09-11,"Stephen Williams",
38,tt6875952,2023-07-11,2023-09-21,"Sony",,10832,103388,280608,383996,Unknown,Carmen,https://www.imdb.com/title/tt6875952/,movie,5.8,116,2022,"Drama, Musical",936,2022-09-11,"Benjamin Millepied",
48,tt15364972,2023-11-28,2023-11-28,"Neon",,64971,535201,46222,581423,Unknown,Sanctuary,https://www.imdb.com/title/tt15364972/,movie,6.3,96,2022,"Drama, Thriller",7043,2022-09-12,"Zachary Wigon",
60,tt11703244,2022-12-01,2023-09-21,"Lionsgate",5000000,6013131,7707207,462246,18169453,Success,The Blackening,https://www.imdb.com/title/tt11703244/,movie,6,97,2022,"Comedy, Horror, Thriller",16497,2022-09-16,"Tim Story",
73,tt10638522,2023-03-07,2023-12-27,"A24",4500000,10431720,48299436,43738969,92038405,Massive Success,Talk to Me,https://www.imdb.com/title/tt10638522/,movie,7.1,95,2022,"Horror, Thriller",116637,2022-10-30,"Danny Philippou, Michael Philippou",
34,tt16428256,2022-12-06,2023-11-28,"Sony/Crunchyroll",,5001705,10930103,312708004,323638107,Unknown,Suzume no Tojimari,https://www.imdb.com/title/tt16428256/,movie,7.7,122,2022,"Animation, Action, Adventure, Fantasy",31884,2022-11-11,"Makoto Shinkai",
1,tt8760708,2022-03-30,2023-11-28,"Universal",12000000,30429860,95043350,84930104,179973454,Massive Sucess,M3GAN,https://www.imdb.com/title/tt8760708/,movie,6.4,102,2022,"Horror, Sci-Fi, Thriller",135377,2022-12-07,"Gerard Johnstone",
16,tt7985704,2023-02-13,2023-11-28,"Lionsgate",50000000,3160000,6496125,42595526,49091651,Massive Flop,Operation Fortune: Ruse de Guerre,https://www.imdb.com/title/tt7985704/,movie,6.3,114,2023,"Action, Comedy, Thriller",78814,2023-01-03,"Guy Ritchie",
14,tt23177868,2023-04-18,2023-11-28,"Warner Bros.",,422183,4275970,50100000,54375970,Unknown,Mummies,https://www.imdb.com/title/tt23177868/,movie,5.9,88,2023,"Animation, Adventure, Comedy, Crime, Drama, Family, Fantasy, Musical, Romance",8492,2023-01-05,"Juan Jesús García Galocha",
9,tt18079362,2022-10-14,2023-09-21,"Paramount",28000000,12701640,39330588,1032350,40362938,Flop,80 for Brady,https://www.imdb.com/title/tt18079362/,movie,5.8,98,2023,"Biography, Comedy, Drama, Sport",10614,2023-01-06,"Kyle Marvin",
2,tt5884796,2022-07-12,2023-09-20,"Lionsgate",25000000,10265326,432111181,42080792,74191973,Success,Plane,https://www.imdb.com/title/tt5884796/,movie,6.5,107,2023,"Action, Adventure, Thriller",73368,2023-01-11,"Jean-François Richet",
3,tt8005118,2022-10-14,2023-09-21,"Warner Bros.",,3985882,9002247,282400,9284647,Unknown,House Party,https://www.imdb.com/title/tt8005118/,movie,4.4,100,2023,Comedy,4022,2023-01-12,"Calmatic",
4,tt10855768,2022-09-16,2023-09-21,"Sony",7000000,9154695,32502025,16265823,48767848,Massive Success,Missing,https://www.imdb.com/title/tt10855768/,movie,7.1,111,2023,"Drama, Mystery, Thriller",54956,2023-01-20,"Nicholas D. Johnson, Will Merrick",
42,tt18257464,2023-03-16,2023-12-27,"Universal/Focus Features",,817740,1595585,1048337,2643922,Unknown,Polite Society,https://www.imdb.com/title/tt18257464/,movie,6.7,104,2023,"Action, Comedy",8679,2023-01-20,"Nida Manzoor",
7,tt10365998,2023-09-06,2023-09-06,"Neon",,2514364,5078400,105024,5183424,Unknown,Infinity Pool,https://www.imdb.com/title/tt10365998/,movie,6,117,2023,"Crime, Horror, Mystery, Sci-Fi, Thriller",50183,2023-01-21,"Brandon Cronenberg",
55,tt13238346,2023-03-07,2023-12-27,"A24",,232266,10923569,10183917,21107486,Unknown,Past Lives,https://www.imdb.com/title/tt13238346/,movie,8,105,2023,"Drama, Romance",55922,2023-01-21,"Celine Song",
68,tt21232992,2023-03-11,2023-12-27,"Disney/Searchlight Pictures",,301220,4009945,396429,4406374,Unknown,Theater Camp,https://www.imdb.com/title/tt21232992/,movie,7,92,2023,Comedy,13156,2023-01-21,"Nick Lieberman, Molly Gordon",
99,tt24076146,2023-09-21,2023-12-27,"Sony",,75592,559820,,559820,Unknown,The Persian Version,https://www.imdb.com/title/tt24076146/,movie,6.4,107,2023,"Comedy, Drama, Romance",1720,2023-01-21,"Maryam Keshavarz",
116,tt5198890,2023-09-05,2023-12-27,"Neon",,93290,1415384,125135,1540519,Unknown,Eileen,https://www.imdb.com/title/tt5198890/,movie,6.5,97,2023,"Drama, Mystery, Thriller",3388,2023-01-21,"William Oldroyd",
26,tt12427158,2023-02-25,2023-09-21,"Universal/Focus Features",,1795695,3400020,63660,3463680,Unknown,A Thousand and One,https://www.imdb.com/title/tt12427158/,movie,7,117,2023,"Crime, Drama",5468,2023-01-22,"A.V. Rockwell",
52,tt15771916,2023-03-07,2023-08-29,"A24",,1389158,4830788,867346,5698134,Unknown,You Hurt My Feelings,https://www.imdb.com/title/tt15771916/,movie,6.6,93,2023,"Comedy, Drama",9371,2023-01-22,"Nicole Holofcener",
76,tt14483774,2023-07-07,2023-11-28,"Sony",,300949,675257,10769,686026,Unknown,Shortcomings,https://www.imdb.com/title/tt14483774/,movie,6.5,92,2023,"Comedy, Drama, Romance",2282,2023-01-22,"Randall Park",
80,tt7645334,2023-07-12,2023-09-05,"MGM",,96847,203403,,203403,Unknown,Landscape with Invisible Hand,https://www.imdb.com/title/tt7645334/,movie,5.9,105,2023,"Comedy, Drama, Sci-Fi",2324,2023-01-23,"Cory Finley",
8,tt15679400,2022-03-30,2023-05-23,"Universal",20000000,14127170,35397980,19362735,54760715,Success,Knock at the Cabin,https://www.imdb.com/title/tt15679400/,movie,6.1,100,2023,"Horror, Mystery, Thriller",108876,2023-01-24,"M. Night Shyamalan",
17,tt26537229,2023-02-03,2023-05-02,"Sony/Crunchyroll",,10117806,10117806,46001598,56119404,Unknown,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,https://www.imdb.com/title/tt26537229/,movie,7.5,110,2023,"Animation, Action, Adventure, Fantasy, Thriller",10012,2023-02-03,"Haruo Sotozaki",
10,tt16280138,2022-09-16,2023-09-21,"Warner Bros.",45000000,8305317,26005156,31100000,57105156,Flop,Magic Mike's Last Dance,https://www.imdb.com/title/tt16280138/,movie,5.2,112,2023,"Comedy, Drama",15391,2023-02-08,"Steven Soderbergh",
