Position,Const,Created,Modified,studio,budget,opening_weekend,domestic,international,worldwide,status,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,
39,tt9185206,2022-06-16,2023-08-29,"Lionsgate",30000000,6739037,20372406,1091637,21464043,Massive Flop,"Are You There God? It's Me, Margaret",https://www.imdb.com/title/tt9185206/,movie,7.4,106,2023,"Comedy, Drama, Family",21157,2023-04-23,"Kelly Fremon Craig",
40,tt12226632,2022-03-30,2023-06-21,"Sony",32000000,2925364,5426772,604430,6031202,Massive Flop,Big George Foreman,https://www.imdb.com/title/tt12226632/,movie,6.6,129,2023,"Biography, Drama, Sport",7398,2023-04-27,"George Tillman Jr",
46,tt6528290,2023-03-15,2023-11-28,"Sony",60000000,556794,1090155,5896022,6986177,Massive Flop,Knights of the Zodiac,https://www.imdb.com/title/tt6528290/,movie,4.4,112,2023,"Action, Adventure, Drama, Fantasy, Sci-Fi",11194,2023-04-27,"Tomasz Baginski",
44,tt10276482,2022-05-05,2023-08-08,"Sony",9000000,2380962,6230837,6465747,12696584,Flop,Love Again,https://www.imdb.com/title/tt10276482/,movie,5.9,104,2023,"Comedy, Drama, Romance",11802,2023-05-05,"Jim Strouse",
49,tt5971474,2022-03-30,2023-10-19,"Disney/Disney Live-actions",250000000,95578040,298172056,271454233,569626289,Flop,The Little Mermaid,https://www.imdb.com/title/tt5971474/,movie,7.2,135,2023,"Adventure, Family, Fantasy, Musical, Romance",148969,2023-05-08,"Rob Marshall",
45,tt20768712,2022-08-14,2023-12-27,"Universal/Focus Features",20000000,6677580,17581565,11431908,29013473,Flop,Book Club: The Next Chapter,https://www.imdb.com/title/tt20768712/,movie,5.6,107,2023,Comedy,5921,2023-05-11,"Bill Holderman",
47,tt5433140,2022-03-30,2023-12-27,"Universal",340000000,67017410,146126015,558749000,704875015,Flop,Fast X,https://www.imdb.com/title/tt5433140/,movie,5.8,141,2023,"Action, Adventure, Crime, Mystery, Thriller",107723,2023-05-12,"Justin Lin, Louis Leterrier",
67,tt26224944,2023-05-17,2023-11-28,"Sony/Crunchyroll",,210219,309757,331068,640825,Unknown,Psycho-Pass: Providence,https://www.imdb.com/title/tt26224944/,movie,6.9,120,2023,"Animation, Action, Crime, Mystery, Sci-Fi, Thriller",344,2023-05-12,"Naoyoshi Shiotani",
62,tt1462764,2022-03-30,2023-11-28,"Disney/LucasFilms",300000000,60368101,174480468,209482589,383963057,Massive Flop,Indiana Jones and the Dial of Destiny,https://www.imdb.com/title/tt1462764/,movie,6.6,154,2023,"Action, Adventure, Sci-Fi",173586,2023-05-18,"James Mangold",
120,tt7160372,2023-08-07,2023-12-27,"A24",,129934,312384,,312384,Unknown,The Zone of Interest,https://www.imdb.com/title/tt7160372/,movie,8,105,2023,"Drama, History, War",2672,2023-05-19,"Jonathan Glazer",
98,tt5537002,2023-08-29,2023-12-27,"Apple/Paramount",200000000,23253655,67235408,89000000,156235408,Massive Flop,Killers of the Flower Moon,https://www.imdb.com/title/tt5537002/,movie,7.8,206,2023,"Crime, Drama, History, Mystery, Romance, Western",145300,2023-05-20,"Martin Scorsese",
97,tt17009710,2023-09-05,2023-12-27,"Neon",,117848,3697360,17186854,20884214,Unknown,Anatomie d'une chute,https://www.imdb.com/title/tt17009710/,movie,7.8,151,2023,"Crime, Drama, Thriller",29311,2023-05-21,"Justine Triet",
59,tt14230388,2022-12-07,2023-12-27,"Universal/Focus Features",25000000,845143,28153025,25761108,53914133,Flop,Asteroid City,https://www.imdb.com/title/tt14230388/,movie,6.5,105,2023,"Comedy, Drama, Romance, Sci-Fi",95418,2023-05-23,"Wes Anderson",
51,tt11040844,2023-01-06,2023-07-04,"Sony",20000000,5000545,10458331,205997,10664328,Massive Flop,The Machine,https://www.imdb.com/title/tt11040844/,movie,5.8,112,2023,"Action, Comedy",13982,2023-05-24,"Peter Atencio",
50,tt8373206,2022-10-07,2023-09-21,"Lionsgate",,4321148,12089391,6078428,18167819,Unknown,About My Father,https://www.imdb.com/title/tt8373206/,movie,5.7,90,2023,Comedy,10766,2023-05-25,"Laura Terruso",
56,tt5090568,2022-03-30,2023-08-22,"Paramount",195000000,61045464,157066392,281900000,438966392,Flop,Transformers: Rise of the Beasts,https://www.imdb.com/title/tt5090568/,movie,6,127,2023,"Action, Adventure, Sci-Fi",94044,2023-05-27,"Steven Caple Jr",
58,tt15789038,2022-05-18,2023-12-27,"Disney/Pixar Animation",200000000,29602429,154426697,341880316,496307013,Flop,Elemental,https://www.imdb.com/title/tt15789038/,movie,7,101,2023,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Romance",107703,2023-05-27,"Peter Sohn",
53,tt9362722,2022-04-21,2023-11-28,"Sony",100000000,120663589,381311319,309205354,690516673,Massive Success,Spider-Man: Across the Spider-Verse,https://www.imdb.com/title/tt9362722/,movie,8.6,140,2023,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",324718,2023-05-31,"Justin K. Thompson, Kemp Powers, Joaquim Dos Santos",
54,tt3427252,2023-01-20,2023-09-14,"Disney/20th Century Studios",35000000,12356486,43244282,24062961,67307243,Flop,The Boogeyman,https://www.imdb.com/title/tt3427252/,movie,5.9,98,2023,"Horror, Mystery, Thriller",40508,2023-05-31,"Rob Savage",
75,tt9224104,2022-03-30,2023-10-19,"Warner Bros.",130000000,30002735,82600317,312400000,395000317,Success,Meg 2: The Trench,https://www.imdb.com/title/tt9224104/,movie,5,116,2023,"Action, Adventure, Horror, Sci-Fi, Thriller",69613,2023-06-09,"Ben Wheatley",
57,tt0439572,2022-03-30,2023-11-28,"Warner Bros.",220000000,55043679,108133313,162500000,270633313,Flop,The Flash,https://www.imdb.com/title/tt0439572/,movie,6.7,144,2023,"Action, Adventure, Fantasy, Sci-Fi",194939,2023-06-14,"Andy Muschietti",
61,tt15671028,2022-07-14,2023-12-27,"Sony",45000000,15002770,50452282,36804125,87256407,Flop,No Hard Feelings,https://www.imdb.com/title/tt15671028/,movie,6.4,103,2023,"Comedy, Romance",124759,2023-06-15,"Gene Stupnitsky",
63,tt27155038,2023-03-16,2023-12-27,"Universal",70000000,5500990,15753600,29767603,45521203,Massive Flop,"Ruby Gillman, Teenage Kraken",https://www.imdb.com/title/tt27155038/,movie,5.7,91,2023,"Animation, Action, Adventure, Comedy, Family, Fantasy",8559,2023-06-15,"Kirk DeMicco, Faryn Pearl",
66,tt9603212,2022-03-30,2023-10-19,"Paramount",291000000,54688347,172135383,395400000,567535383,Flop,Mission: Impossible - Dead Reckoning Part One,https://www.imdb.com/title/tt9603212/,movie,7.7,163,2023,"Action, Adventure, Thriller",209150,2023-06-19,"Christopher McQuarrie",
64,tt13405778,2022-07-19,2023-11-28,"Sony",16000000,33013036,82156962,106929915,189086877,Massive Success,Insidious: The Red Door,https://www.imdb.com/title/tt13405778/,movie,5.5,107,2023,"Horror, Mystery, Thriller",45257,2023-06-27,"Patrick Wilson",
69,tt1517268,2022-04-27,2023-12-27,"Warner Bros.",145000000,162022044,636220453,805600000,1441820453,Massive Success,Barbie,https://www.imdb.com/title/tt1517268/,movie,6.9,114,2023,"Adventure, Comedy, Fantasy",445043,2023-07-09,"Greta Gerwig",
70,tt15398776,2022-03-30,2023-12-27,"Universal",100000000,82455420,326081985,625934000,952015985,Massive Success,Oppenheimer,https://www.imdb.com/title/tt15398776/,movie,8.4,180,2023,"Biography, Drama, History",577830,2023-07-11,"Christopher Nolan",
72,tt1695843,2023-02-17,2023-11-28,"Disney",150000000,24082475,67653287,49796503,117449790,Massive Flop,Haunted Mansion,https://www.imdb.com/title/tt1695843/,movie,6.1,123,2023,"Comedy, Drama, Family, Fantasy, Horror, Mystery",39145,2023-07-15,"Justin Simien",
81,tt4495098,2022-06-14,2023-12-27,"Sony",60000000,17400000,44428554,77499324,121927878,Flop,Gran Turismo,https://www.imdb.com/title/tt4495098/,movie,7.2,134,2023,"Action, Adventure, Drama, Sport",72978,2023-07-16,"Neill Blomkamp",
